fecha_hora,latitud,longitud,profundidad,tipo,magnitud,tipo_magnitud,lugar
2019-05-19T06:16:07Z,-10.329,119.2106,12.77,terremoto,5.1,mb,"65km S of Bogorawatu, Indonesia"
2019-05-19T06:12:20Z,-23.9063,-66.8217,197.42,terremoto,4.5,mb,"61km NW of San Antonio de los Cobres, Argentina"
2019-05-19T01:23:29Z,-21.6713,169.8042,20,terremoto,6.3,mww,"199km E of Tadine, New Caledonia"
2019-05-19T00:42:45Z,-17.5351,167.7024,10,terremoto,4.5,mb,"69km WNW of Port-Vila, Vanuatu"
2019-05-18T20:35:31Z,-2.9251,129.9853,10,terremoto,4.9,mb,"127km ENE of Amahai, Indonesia"
2019-05-18T17:56:24Z,43.3079,146.9218,51.04,terremoto,4.5,mb,"57km SSE of Shikotan, Russia"
2019-05-18T14:58:30Z,-5.2595,152.6744,10,terremoto,5.1,mb,"96km SSW of Taron, Papua New Guinea"
2019-05-18T08:16:10Z,48.2527,154.4133,57.42,terremoto,4.5,mb,"296km SSW of Severo-Kuril'sk, Russia"
2019-05-18T07:48:18Z,29.6908,52.0167,10,terremoto,4.6,mb,"35km ENE of Kazerun, Iran"
2019-05-18T04:39:01Z,11.6016,125.6176,35,terremoto,4.6,mb,"16km E of Lalauigan, Philippines"
2019-05-18T03:55:39Z,-4.8282,-75.0735,35,terremoto,4.5,mb,"79km ENE of Lagunas, Peru"
2019-05-18T03:43:30Z,-34.6964,76.2859,10,terremoto,4.6,mb,Mid-Indian Ridge
2019-05-18T03:00:09Z,-21.061,-178.6814,598.15,terremoto,4.5,mb,"45km S of Ndoi Island, Fiji"
2019-05-18T01:51:30Z,-9.4947,108.6653,10,terremoto,5.6,mww,"187km S of Sindangsari, Indonesia"
2019-05-18T01:29:33Z,-16.9152,-174.1217,54.52,terremoto,4.6,mb,"113km SSW of Hihifo, Tonga"
2019-05-18T01:18:03Z,38.9378,141.7729,77.64,terremoto,4.8,mb,"15km SSE of Ofunato, Japan"
2019-05-17T23:02:32Z,-3.2468,139.8705,35,terremoto,5,mb,"104km SW of Abepura, Indonesia"
2019-05-17T22:37:47Z,-4.5834,153.0098,21,terremoto,5.9,mww,"13km S of Taron, Papua New Guinea"
2019-05-17T22:24:52Z,45.2046,124.6114,16.53,terremoto,4.8,mb,"16km W of Fuyu, China"
2019-05-17T19:05:20Z,7.8097,94.2357,10,terremoto,5.1,mb,"102km E of Mohean, India"
2019-05-17T15:18:18Z,2.708,128.7106,211.98,terremoto,4.6,mb,"133km NE of Tobelo, Indonesia"
2019-05-17T14:16:23Z,-19.8379,-70.2925,81.73,terremoto,5,mww,"45km NNW of Iquique, Chile"
2019-05-17T14:00:40Z,27.9437,139.8477,450.04,terremoto,4.5,mb,"252km WNW of Chichi-shima, Japan"
2019-05-17T11:23:52Z,11.3926,48.1881,10,terremoto,4.6,mb,"25km N of Laasqoray, Somalia"
2019-05-17T09:09:30Z,-20.5289,-175.7885,162.45,terremoto,4.5,mb,"90km NW of Nuku`alofa, Tonga"
2019-05-17T08:23:37Z,27.9226,84.6955,10,terremoto,4.7,mb,"37km NE of Bharatpur, Nepal"
2019-05-17T05:27:28Z,-35.0644,-74.0443,10,terremoto,5.2,mww,"151km W of Constitucion, Chile"
2019-05-17T03:27:03Z,-3.8142,152.8414,10,terremoto,4.8,mb,"48km ESE of Namatanai, Papua New Guinea"
2019-05-16T22:52:43Z,-4.5883,-105.7309,10,terremoto,5.8,mww,Central East Pacific Rise
2019-05-16T22:30:55Z,12.0142,-89.0699,10,terremoto,4.8,mb,"151km SSW of Puerto El Triunfo, El Salvador"
2019-05-16T16:22:16Z,12.6241,-87.8557,62.02,terremoto,5.9,mww,"45km WSW of Jiquilillo, Nicaragua"
2019-05-16T15:18:05Z,-3.1526,130.424,13.65,terremoto,4.5,mb,"168km E of Amahai, Indonesia"
2019-05-16T14:39:03Z,-8.6904,112.535,83.79,terremoto,4.7,mb,"37km S of Gombangan, Indonesia"
2019-05-16T14:32:49Z,-17.8136,-70.1711,114.14,terremoto,5.1,mww,"22km NNE of Tacna, Peru"
2019-05-16T12:09:47Z,-5.17,152.864,35,terremoto,4.9,mb,"79km SSW of Taron, Papua New Guinea"
2019-05-16T10:17:17Z,-4.3151,152.8639,35,terremoto,5,mb,"25km NW of Taron, Papua New Guinea"
2019-05-16T06:51:59Z,7.4162,94.3029,10,terremoto,4.9,mb,"124km ESE of Mohean, India"
2019-05-16T04:04:56Z,-2.3711,-76.9019,137.41,terremoto,4.8,mb,"135km E of Macas, Ecuador"
2019-05-16T01:23:59Z,-5.2257,152.6189,25.33,terremoto,5.7,mww,"95km SSW of Taron, Papua New Guinea"
2019-05-16T00:32:13Z,-31.456,-69.3931,105.45,terremoto,5.1,mww,"13km S of Calingasta, Argentina"
2019-05-16T00:29:14Z,-60.8693,-51.3275,10,terremoto,4.5,mb,Scotia Sea
2019-05-16T00:02:41Z,-21.4292,-68.3506,114.37,terremoto,4.5,mb,"129km NNE of Calama, Chile"
2019-05-15T20:33:37Z,28.1554,103.6621,37.67,terremoto,4.8,mb,"9km ESE of Xiluodu, China"
2019-05-15T19:31:44Z,57.4398,120.6751,14.74,terremoto,4.7,mb,"157km ENE of Chara, Russia"
2019-05-15T16:53:46Z,32.806,32.6513,10,terremoto,4.8,mb,"162km NNE of `Izbat al Burj, Egypt"
2019-05-15T15:03:44Z,-2.8844,126.9256,10,terremoto,4.5,mb,"45km NNW of Namlea, Indonesia"
2019-05-15T14:49:34Z,19.6251,-108.9998,10,terremoto,4.6,mb,"228km ENE of Socorro Island, Mexico"
2019-05-15T14:09:00Z,-28.5516,-176.7205,35,terremoto,5.3,mb,"139km NE of Raoul Island, New Zealand"
2019-05-15T13:28:22Z,4.1512,126.6475,32.53,terremoto,4.6,mb,"190km SE of Sarangani, Philippines"
2019-05-15T12:11:00Z,12.1559,46.1801,10,terremoto,5.1,mb,"138km SE of Zinjibar, Yemen"
2019-05-15T10:54:43Z,37.8445,21.2357,10,terremoto,4.6,mb,"1km WSW of Gastouni, Greece"
2019-05-15T08:54:39Z,25.6984,125.6949,101.82,terremoto,4.6,mb,"107km NNE of Hirara, Japan"
2019-05-15T05:24:32Z,29.7257,130.6783,35,terremoto,5.4,mb,"115km SSW of Nishinoomote, Japan"
2019-05-15T03:14:43Z,-9.8406,154.2741,10,terremoto,4.8,mb,"192km ESE of Kulumadau, Papua New Guinea"
2019-05-15T01:25:40Z,-60.5726,-26.0946,10,terremoto,4.5,mb,"173km S of Bristol Island, South Sandwich Islands"
2019-05-15T00:59:59Z,27.5866,142.8159,10,terremoto,4.7,mb,"81km NE of Chichi-shima, Japan"
2019-05-15T00:42:48Z,-3.1589,149.2658,10,terremoto,4.7,mb,"182km WSW of Kavieng, Papua New Guinea"
2019-05-15T00:33:45Z,-3.2352,148.9957,10,terremoto,5.5,mww,"213km WSW of Kavieng, Papua New Guinea"
2019-05-14T23:44:40Z,-7.425,121.1315,538.76,terremoto,4.5,mb,"109km N of Mbarungkeli, Indonesia"
2019-05-14T21:50:09Z,19.7238,-108.9238,10,terremoto,4.9,mb,"240km ENE of Socorro Island, Mexico"
2019-05-14T20:55:26Z,43.8449,147.9495,36.39,terremoto,5.2,mww,"98km E of Shikotan, Russia"
2019-05-14T20:09:37Z,-3.7381,151.857,35.45,terremoto,4.6,mb,"61km NW of Rabaul, Papua New Guinea"
2019-05-14T20:01:07Z,-35.6989,-103.8114,10,terremoto,5,mb,Southeast of Easter Island
2019-05-14T16:14:29Z,12.5013,-87.036,151.77,terremoto,4.5,mb,"7km SW of Posoltega, Nicaragua"
2019-05-14T16:06:29Z,-4.1531,151.8585,10.03,terremoto,4.5,mb,"35km W of Rabaul, Papua New Guinea"
2019-05-14T15:37:11Z,-4.1894,152.827,10,terremoto,4.7,mb,"38km NW of Taron, Papua New Guinea"
2019-05-14T14:56:12Z,-4.804,153.0517,10,terremoto,4.5,mb,"37km S of Taron, Papua New Guinea"
2019-05-14T14:54:17Z,-4.0877,152.55,10,terremoto,4.6,mb,"43km NE of Kokopo, Papua New Guinea"
2019-05-14T14:36:34Z,-3.7803,152.0114,12.09,terremoto,5,mb,"48km WSW of Namatanai, Papua New Guinea"
2019-05-14T14:33:15Z,-3.7583,152.4881,10,terremoto,4.8,mb,"11km SSE of Namatanai, Papua New Guinea"
2019-05-14T14:30:45Z,-3.9688,152.8493,10,terremoto,4.8,mb,"57km SE of Namatanai, Papua New Guinea"
2019-05-14T14:25:05Z,-4.2919,152.9489,10,terremoto,4.7,mb,"21km NNW of Taron, Papua New Guinea"
2019-05-14T14:04:38Z,-17.5789,167.8864,10.72,terremoto,4.5,mb,"49km WNW of Port-Vila, Vanuatu"
2019-05-14T14:01:18Z,-4.2329,152.5772,10,terremoto,4.5,mb,"37km ENE of Kokopo, Papua New Guinea"
2019-05-14T13:38:20Z,-4.21,152.6618,10,terremoto,5,mb,"46km ENE of Kokopo, Papua New Guinea"
2019-05-14T13:31:57Z,-3.786,152.5753,10,terremoto,4.5,mb,"20km SE of Namatanai, Papua New Guinea"
2019-05-14T13:27:11Z,-4.6009,152.5182,10,terremoto,4.5,mb,"39km SE of Kokopo, Papua New Guinea"
2019-05-14T13:26:06Z,-4.1347,152.2903,10,terremoto,4.8,mb,"14km ENE of Rabaul, Papua New Guinea"
2019-05-14T13:17:08Z,-3.8404,152.5247,10,terremoto,4.7,mb,"21km SSE of Namatanai, Papua New Guinea"
2019-05-14T13:13:49Z,-4.0079,151.6778,10,terremoto,4.9,mb,"58km WNW of Rabaul, Papua New Guinea"
2019-05-14T12:58:26Z,-4.081,152.5694,10,terremoto,7.5,mww,"45km NE of Kokopo, Papua New Guinea"
2019-05-14T11:16:36Z,-39.4104,178.395,10,terremoto,5.2,mww,"90km SSE of Gisborne, New Zealand"
2019-05-14T09:48:31Z,47.6076,86.5905,10,terremoto,4.5,mb,"118km WSW of Altay, China"
2019-05-14T09:30:47Z,27.368,142.8989,10,terremoto,4.7,mb,"74km ENE of Chichi-shima, Japan"
2019-05-14T09:08:42Z,52.1002,-176.1697,141.04,terremoto,4.5,mb,"41km NE of Adak, Alaska"
2019-05-14T08:00:08Z,11.013,-72.291,83.34,terremoto,4.5,mb,"36km ESE of Albania, Colombia"
2019-05-14T00:20:38Z,-12.8392,45.4533,10,terremoto,5,mww,"19km ESE of Pamandzi, Mayotte"
2019-05-13T23:23:45Z,-51.5688,139.298,10,terremoto,4.9,mb,Western Indian-Antarctic Ridge
2019-05-13T21:27:32Z,37.676,21.1839,10,terremoto,4.5,mb,"16km SW of Kardamas, Greece"
2019-05-13T18:00:17Z,0.6492,-78.0214,1.36,terremoto,4.6,mb,"10km WNW of El Angel, Ecuador"
2019-05-13T16:57:16Z,37.6753,21.267,10,terremoto,4.9,mb,"11km SSW of Kardamas, Greece"
2019-05-13T16:53:01Z,-2.9864,130.4059,10,terremoto,4.8,mww,"169km ENE of Amahai, Indonesia"
2019-05-13T16:41:26Z,-23.2739,-179.0795,412.84,terremoto,4.5,mb,"293km S of Ndoi Island, Fiji"
2019-05-13T16:01:05Z,-20.6791,169.3292,35,terremoto,4.6,mb,"125km S of Isangel, Vanuatu"
2019-05-13T15:31:27Z,37.6494,21.2205,10,terremoto,4.5,mb,"16km SW of Kardamas, Greece"
2019-05-13T12:54:21Z,-6.368,150.9204,10,terremoto,5.3,mb,"124km SE of Kimbe, Papua New Guinea"
2019-05-13T12:41:53Z,-14.0779,-74.4393,83.45,terremoto,5,mb,"76km NNW of Puquio, Peru"
2019-05-13T12:01:10Z,-23.4381,-174.9597,10,terremoto,5.2,mb,"233km S of `Ohonua, Tonga"
2019-05-13T11:38:15Z,-23.916,-179.5237,517.08,terremoto,4.7,mb,South of the Fiji Islands
2019-05-13T10:53:19Z,5.3392,125.6783,168.27,terremoto,4.6,mb,"24km ESE of Sarangani, Philippines"
2019-05-13T09:59:35Z,37.2316,141.2504,10,terremoto,4.6,mb,"35km SE of Namie, Japan"
2019-05-13T08:18:02Z,-22.1206,-175.6017,10,terremoto,4.7,mb,"110km SSW of Vaini, Tonga"
2019-05-13T07:10:28Z,-12.1885,-74.8297,54.13,terremoto,5.2,mb,"24km NNE of Pampas, Peru"
2019-05-13T05:01:47Z,30.5677,143.6087,10,terremoto,5,mb,"Izu Islands, Japan region"
2019-05-13T03:59:42Z,5.6675,125.7266,140.47,terremoto,4.5,mb,"25km ESE of Kalbay, Philippines"
2019-05-13T03:48:48Z,-24.5773,-115.5611,10,terremoto,4.6,mb,Southern East Pacific Rise
2019-05-13T03:20:27Z,-4.0049,142.2528,120.53,terremoto,4.7,mb,"70km WNW of Ambunti, Papua New Guinea"
2019-05-13T02:58:47Z,25.5854,141.4223,74.82,terremoto,4.5,mb,"89km N of Iwo Jima, Japan"
2019-05-13T02:11:07Z,-32.9447,-178.895,53.68,terremoto,5.1,mb,"167km S of L'Esperance Rock, New Zealand"
2019-05-13T01:01:53Z,9.6696,-84.33,40.73,terremoto,4.5,mb,"13km SW of Tejar, Costa Rica"
2019-05-13T00:43:33Z,79.4078,123.8974,10,terremoto,5.4,mb,East of Severnaya Zemlya
2019-05-12T21:52:11Z,-17.7026,-69.4644,157.52,terremoto,4.6,mb,"55km N of Putre, Chile"
2019-05-12T21:17:14Z,-5.7993,151.082,35,terremoto,4.8,mb,"107km ESE of Kimbe, Papua New Guinea"
2019-05-12T21:11:40Z,14.8834,-45.0696,10,terremoto,4.8,mb,Northern Mid-Atlantic Ridge
2019-05-12T21:08:30Z,-11.9545,165.4592,10,terremoto,5,mb,"142km SSW of Lata, Solomon Islands"
2019-05-12T19:24:50Z,8.6091,-82.8387,19,terremoto,6.1,mww,"8km N of Canoas, Costa Rica"
2019-05-12T15:25:40Z,-11.9894,165.4604,10,terremoto,5.1,mb,"146km SSW of Lata, Solomon Islands"
2019-05-12T15:01:01Z,-53.4092,23.8907,10,terremoto,4.6,mb,South of Africa
2019-05-12T14:56:04Z,-27.6723,-176.5124,10,terremoto,4.9,mb,"222km NE of Raoul Island, New Zealand"
2019-05-12T10:00:01Z,19.228,121.1144,10,terremoto,4.7,mb,"68km N of Claveria, Philippines"
2019-05-12T08:59:53Z,19.4192,121.0283,20.48,terremoto,5.4,mww,"90km N of Claveria, Philippines"
