ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
9327,Ab Tak Chhappan,2004,7.9,"Crimen, Drama, Suspenso",6818,Shimit Amin,129,NA
9328,Hypnotisören,2012,5.6,"Crimen, Drama, Suspenso",6817,Lasse Hallström,122,NA
9329,O Lucky Man!,1973,7.8,"Comedia, Drama, Fantasía",6816,Lindsay Anderson,178,NA
9330,A Murder of Crows,1998,6.4,"Acción, Crimen, Suspenso",6815,Rowdy Herrington,102,NA
9331,The Associate,1996,6.1,Comedia,6815,Donald Petrie,114,12.77
9332,Flicka,2006,6.2,"Aventura, Drama, Familiar",6809,Michael Mayer,95,21
9333,Michael Kohlhaas,2013,6.1,"Drama, Histórico",6809,Arnaud des Pallières,122,NA
9334,Arthur and the Great Adventure,2009,5.3,"Animación, Aventura, Familiar",6808,Luc Besson,107,0.35
9335,"Don't Worry, He Won't Get Far on Foot",2018,6.9,"Biografía, Comedia, Drama",6807,Gus Van Sant,114,1.44
9336,Forever My Girl,2018,6.6,"Drama, Música, Romántica",6807,Bethany Ashton Wolf,108,16.38
9337,Take Me Home,2011,6.9,"Comedia, Romántica",6806,Sam Jaeger,97,0.02
9338,Baasha,1995,8.3,"Acción, Crimen, Drama",6804,Suresh Krishna,145,NA
9339,Obsluhoval jsem anglického krále,2006,7.4,"Comedia, Drama, Romántica",6804,Jirí Menzel,113,0.62
9340,Gong fu yu jia,2017,5.2,"Acción, Aventura, Comedia",6802,Stanley Tong,107,0.36
9341,Bu neng shuo de. mi mi,2007,7.6,"Drama, Fantasía, Música",6798,Jay Chou,101,NA
9342,Bommarillu,2006,8.2,"Comedia, Drama, Romántica",6797,Bhaskar,170,0.65
9343,I Am David,2003,7.3,Drama,6796,Paul Feig,90,0.28
9344,The Strange Love of Martha Ivers,1946,7.5,"Drama, Cine negro, Romántica",6795,Lewis Milestone,116,NA
9345,The Loneliness of the Long Distance Runner,1962,7.7,"Drama, Deportes",6795,Tony Richardson,104,NA
9346,The Pope of Greenwich Village,1984,6.7,"Acción, Comedia, Crimen",6794,Stuart Rosenberg,121,6.14
9347,Happy Christmas,2014,5.5,"Comedia, Drama",6794,Joe Swanberg,82,0.03
9348,I Call First,1967,6.7,"Drama, Romántica",6793,Martin Scorsese,90,NA
9349,Madea's Big Happy Family,2011,4.7,"Comedia, Drama",6792,Tyler Perry,106,53.35
9350,Love Liza,2002,7,"Comedia, Drama",6791,Todd Louiso,90,0.21
9351,The Krays,1990,6.7,"Biografía, Crimen, Drama",6788,Peter Medak,115,2.06
9352,Hong gao liang,1988,7.5,"Drama, Histórico, Romántica",6785,Yimou Zhang,91,NA
9353,Easy Money,1983,6.3,Comedia,6784,James Signorelli,95,29.31
9354,She Hate Me,2004,5.3,"Comedia, Drama",6784,Spike Lee,138,0.37
9355,Antikörper,2005,7.1,"Crimen, Drama, Suspenso",6784,Christian Alvart,127,NA
9356,October Baby,2011,6.8,Drama,6783,Andrew Erwin,107,5.36
9357,Kukushka,2002,7.9,"Drama, Guerra, Comedia",6783,Aleksandr Rogozhkin,99,0.24
9358,The Humanity Bureau,2017,5.3,"Acción, Aventura, Ciencia Ficción",6780,Rob W. King,95,NA
9359,6 donne per l'assassino,1964,7.3,"Horror, Misterio, Suspenso",6776,Mario Bava,88,NA
9360,Los últimos días,2013,6.2,"Aventura, Horror, Ciencia Ficción",6776,David Pastor,100,NA
9361,The Burrowers,2008,5.8,"Horror, Suspenso, Oeste",6775,J.T. Petty,96,NA
9362,Jian yu,2010,6.9,"Acción, Aventura",6770,Chao-Bin Su,117,NA
9363,Accidental Love,2015,4.1,"Comedia, Romántica",6766,David O. Russell,100,NA
9364,13 Minutes,2015,7,"Biografía, Drama, Guerra",6764,Oliver Hirschbiegel,114,0.16
9365,"Yours, Mine and Ours",1968,7.2,"Comedia, Familiar",6763,Melville Shavelson,111,25.91
9366,Mei ren yu,2016,6.3,"Comedia, Drama, Fantasía",6763,Stephen Chow,94,3.23
9367,In Secret,2013,6.2,"Crimen, Drama, Suspenso",6761,Charlie Stratton,107,0.42
9368,The House of Mirth,2000,7.1,"Romántica, Drama",6760,Terence Davies,135,3.04
9369,Voces inocentes,2004,7.9,"Drama, Suspenso, Guerra",6756,Luis Mandoki,120,0.84
9370,Ayan,2009,7.3,Acción,6753,Anand K.V.,162,NA
9371,Ragnarok: The Viking Apocalypse,2013,5.9,"Acción, Aventura",6751,Mikkel Brænne Sandemose,100,0
9372,Best Laid Plans,1999,6.2,"Crimen, Drama, Suspenso",6749,Mike Barker,92,0.03
9373,White Palace,1990,6.5,"Drama, Romántica",6748,Luis Mandoki,103,17.49
9374,Children of the Corn II: The Final Sacrifice,1992,4.3,"Horror, Suspenso",6747,David Price,92,6.98
9375,Rosewood,1997,7.2,"Acción, Drama, Histórico",6747,John Singleton,140,13.1
9376,Educazione siberiana,2013,6.4,"Crimen, Drama",6746,Gabriele Salvatores,110,NA
9377,Soul Man,1986,5.2,"Comedia, Romántica",6745,Steve Miner,104,27.82
9378,The Tortured,2010,5.5,"Horror, Suspenso",6745,Robert Lieberman,79,NA
9379,Narrow Margin,1990,6.6,"Acción, Crimen, Suspenso",6745,Peter Hyams,97,10.87
9380,Stage Door,1937,7.8,"Comedia, Drama",6739,Gregory La Cava,92,NA
9381,La chèvre,1981,7.4,"Aventura, Comedia, Crimen",6739,Francis Veber,95,NA
9382,Dead or Alive: Hanzaisha,1999,6.9,"Acción, Comedia, Crimen",6738,Takashi Miike,105,0
9383,Earth,1998,7.8,"Drama, Romántica, Guerra",6735,Deepa Mehta,110,0.53
9384,One Million Years B.C.,1966,5.7,"Aventura, Fantasía",6734,Don Chaffey,100,NA
9385,Mishima: A Life in Four Chapters,1985,7.9,"Biografía, Drama",6734,Paul Schrader,120,0.44
9386,Babysitter Wanted,2008,5.5,"Horror, Suspenso",6731,Jonas Barnes,93,NA
9387,Pride and Prejudice,1940,7.4,"Drama, Romántica",6730,Robert Z. Leonard,118,NA
9388,Mister Lonely,2007,6.4,"Comedia, Drama",6730,Harmony Korine,112,0.17
9389,The Mummy,1959,6.8,"Aventura, Horror",6728,Terence Fisher,86,NA
9390,Jägarna,1996,7.1,"Crimen, Suspenso",6728,Kjell Sundvall,113,NA
9391,Le Feu Follet,1963,8,Drama,6728,Louis Malle,108,NA
9392,L'argent,1983,7.5,"Crimen, Drama",6728,Robert Bresson,85,NA
9393,Fandango,1985,6.7,"Comedia, Drama",6725,Kevin Reynolds,91,0.09
9394,Where the River Bends,1952,7.3,"Acción, Aventura, Romántica",6725,Anthony Mann,91,NA
9395,Equus,1977,7.2,"Drama, Misterio",6718,Sidney Lumet,137,NA
9396,Hero Wanted,2008,5.7,"Acción, Crimen, Drama",6718,Brian Smrz,94,NA
9397,The Prince and the Showgirl,1957,6.7,"Comedia, Romántica",6713,Laurence Olivier,115,NA
9398,The Garbage Pail Kids Movie,1987,2.7,"Aventura, Comedia, Familiar",6712,Rod Amateau,100,1.58
9399,Neighbors,1981,5.6,Comedia,6712,John G. Avildsen,94,29.92
9400,Getting Even with Dad,1994,4.7,"Comedia, Crimen, Familiar",6711,Howard Deutch,109,18.44
9401,Panique au village,2009,7.5,"Animación, Aventura, Comedia",6711,Stéphane Aubier,75,0.17
9402,Ghilli,2004,7.7,"Acción, Comedia, Romántica",6710,Dharani,160,NA
9403,Death of a President,2006,6.3,"Crimen, Drama, Misterio",6708,Gabriel Range,97,0.52
9404,I Hate Luv Storys,2010,5.6,"Comedia, Drama, Romántica",6707,Punit Malhotra,129,0.85
9405,Io sto con gli ippopotami,1979,6.7,"Acción, Aventura, Comedia",6705,Italo Zingarelli,108,NA
9406,Dünyayi Kurtaran Adam,1982,4.8,"Acción, Aventura, Ciencia Ficción",6704,Çetin Inanç,91,NA
9407,The Happytime Murders,2018,5.1,"Acción, Comedia, Crimen",6701,Brian Henson,91,20.71
9408,Control,2004,6.2,"Crimen, Ciencia Ficción, Suspenso",6701,Tim Hunter,104,NA
9409,The Honeymooners,2005,3.1,"Comedia, Drama, Familiar",6700,John Schultz,90,12.83
9410,True Crimes,2016,4.8,"Crimen, Drama, Suspenso",6699,Alexandros Avranas,92,NA
