anio,equipo,codigo_pais,ronda,resultado,goles,id_partido_anio,numero_equipo
2003,Alemania,GER,Fase de grupos,Victoria,4,3,1
2003,Canadá,CAN,Fase de grupos,Derrota,1,3,2
2003,Japón,JPN,Fase de grupos,Victoria,6,4,1
2003,Argentina,ARG,Fase de grupos,Derrota,0,4,2
2003,Estados Unidos,USA,Fase de grupos,Victoria,3,5,1
2003,Suecia,SWE,Fase de grupos,Derrota,1,5,2
2003,Australia,AUS,Fase de grupos,Derrota,1,6,1
2003,Rusia,RUS,Fase de grupos,Victoria,2,6,2
2003,Brasil,BRA,Fase de grupos,Victoria,3,7,1
2003,Corea del Sur,KOR,Fase de grupos,Derrota,0,7,2
2003,República Popular China,CHN,Fase de grupos,Victoria,1,8,1
2003,Ghana,GHA,Fase de grupos,Derrota,0,8,2
2003,Noruega,NOR,Fase de grupos,Derrota,1,9,1
2003,Brasil,BRA,Fase de grupos,Victoria,4,9,2
2003,Alemania,GER,Fase de grupos,Victoria,3,10,1
2003,Japón,JPN,Fase de grupos,Derrota,0,10,2
2003,Francia,FRA,Fase de grupos,Victoria,1,11,1
2003,Corea del Sur,KOR,Fase de grupos,Derrota,0,11,2
2003,Canadá,CAN,Fase de grupos,Victoria,3,12,1
2003,Argentina,ARG,Fase de grupos,Derrota,0,12,2
2003,Ghana,GHA,Fase de grupos,Derrota,0,13,1
2003,Rusia,RUS,Fase de grupos,Victoria,3,13,2
2003,Suecia,SWE,Fase de grupos,Victoria,1,14,1
2003,Corea del Norte,PRK,Fase de grupos,Derrota,0,14,2
2003,Estados Unidos,USA,Fase de grupos,Victoria,5,15,1
2003,Nigeria,NGA,Fase de grupos,Derrota,0,15,2
2003,República Popular China,CHN,Fase de grupos,Empate,1,16,1
2003,Australia,AUS,Fase de grupos,Empate,1,16,2
2003,Corea del Sur,KOR,Fase de grupos,Derrota,1,17,1
2003,Noruega,NOR,Fase de grupos,Victoria,7,17,2
2003,Canadá,CAN,Fase de grupos,Victoria,3,18,1
2003,Japón,JPN,Fase de grupos,Derrota,1,18,2
2003,Francia,FRA,Fase de grupos,Empate,1,19,1
2003,Brasil,BRA,Fase de grupos,Empate,1,19,2
2003,Argentina,ARG,Fase de grupos,Derrota,1,20,1
2003,Alemania,GER,Fase de grupos,Victoria,6,20,2
2003,Suecia,SWE,Fase de grupos,Victoria,3,21,1
2003,Nigeria,NGA,Fase de grupos,Derrota,0,21,2
2003,Ghana,GHA,Fase de grupos,Victoria,2,22,1
2003,Australia,AUS,Fase de grupos,Derrota,1,22,2
2003,Corea del Norte,PRK,Fase de grupos,Derrota,0,23,1
2003,Estados Unidos,USA,Fase de grupos,Victoria,3,23,2
2003,República Popular China,CHN,Fase de grupos,Victoria,1,24,1
2003,Rusia,RUS,Fase de grupos,Derrota,0,24,2
2003,Estados Unidos,USA,Cuartos de final,Victoria,1,25,1
2003,Noruega,NOR,Cuartos de final,Derrota,0,25,2
2003,Brasil,BRA,Cuartos de final,Derrota,1,26,1
2003,Suecia,SWE,Cuartos de final,Victoria,2,26,2
2003,Alemania,GER,Cuartos de final,Victoria,7,27,1
2003,Rusia,RUS,Cuartos de final,Derrota,1,27,2
2003,República Popular China,CHN,Cuartos de final,Derrota,0,28,1
2003,Canadá,CAN,Cuartos de final,Victoria,1,28,2
2003,Estados Unidos,USA,Semifinales,Derrota,0,29,1
2003,Alemania,GER,Semifinales,Victoria,3,29,2
2003,Suecia,SWE,Semifinales,Victoria,2,30,1
2003,Canadá,CAN,Semifinales,Derrota,1,30,2
2003,Estados Unidos,USA,Tercer lugar,Victoria,3,31,1
2003,Canadá,CAN,Tercer lugar,Derrota,1,31,2
2003,Alemania,GER,Final,Victoria,2,32,1
2003,Suecia,SWE,Final,Derrota,1,32,2
2007,Alemania,GER,Fase de grupos,Victoria,11,1,1
2007,Argentina,ARG,Fase de grupos,Derrota,0,1,2
2007,Estados Unidos,USA,Fase de grupos,Empate,2,2,1
2007,Corea del Norte,PRK,Fase de grupos,Empate,2,2,2
2007,Japón,JPN,Fase de grupos,Empate,2,3,1
2007,Inglaterra,ENG,Fase de grupos,Empate,2,3,2
2007,Nigeria,NGA,Fase de grupos,Empate,1,4,1
2007,Suecia,SWE,Fase de grupos,Empate,1,4,2
2007,Ghana,GHA,Fase de grupos,Derrota,1,5,1
2007,Australia,AUS,Fase de grupos,Victoria,4,5,2
2007,Nueva Zelanda,NZL,Fase de grupos,Derrota,0,6,1
2007,Brasil,BRA,Fase de grupos,Victoria,5,6,2
2007,Noruega,NOR,Fase de grupos,Victoria,2,7,1
2007,Canadá,CAN,Fase de grupos,Derrota,1,7,2
2007,República Popular China,CHN,Fase de grupos,Victoria,3,8,1
2007,Dinamarca,DEN,Fase de grupos,Derrota,2,8,2
2007,Argentina,ARG,Fase de grupos,Derrota,0,9,1
2007,Japón,JPN,Fase de grupos,Victoria,1,9,2
2007,Suecia,SWE,Fase de grupos,Derrota,0,10,1
2007,Estados Unidos,USA,Fase de grupos,Victoria,2,10,2
2007,Inglaterra,ENG,Fase de grupos,Empate,0,11,1
2007,Alemania,GER,Fase de grupos,Empate,0,11,2
2007,Corea del Norte,PRK,Fase de grupos,Victoria,2,12,1
2007,Nigeria,NGA,Fase de grupos,Derrota,0,12,2
2007,Canadá,CAN,Fase de grupos,Victoria,4,13,1
2007,Ghana,GHA,Fase de grupos,Derrota,0,13,2
2007,Dinamarca,DEN,Fase de grupos,Victoria,2,14,1
2007,Nueva Zelanda,NZL,Fase de grupos,Derrota,0,14,2
2007,Australia,AUS,Fase de grupos,Empate,1,15,1
2007,Noruega,NOR,Fase de grupos,Empate,1,15,2
2007,Brasil,BRA,Fase de grupos,Victoria,4,16,1
2007,República Popular China,CHN,Fase de grupos,Derrota,0,16,2
2007,Alemania,GER,Fase de grupos,Victoria,2,17,1
2007,Japón,JPN,Fase de grupos,Derrota,0,17,2
2007,Inglaterra,ENG,Fase de grupos,Victoria,6,18,1
2007,Argentina,ARG,Fase de grupos,Derrota,1,18,2
2007,Nigeria,NGA,Fase de grupos,Derrota,0,19,1
2007,Estados Unidos,USA,Fase de grupos,Victoria,1,19,2
2007,Corea del Norte,PRK,Fase de grupos,Derrota,1,20,1
2007,Suecia,SWE,Fase de grupos,Victoria,2,20,2
2007,Noruega,NOR,Fase de grupos,Victoria,7,21,1
2007,Ghana,GHA,Fase de grupos,Derrota,2,21,2
2007,Australia,AUS,Fase de grupos,Empate,2,22,1
2007,Canadá,CAN,Fase de grupos,Empate,2,22,2
2007,República Popular China,CHN,Fase de grupos,Victoria,2,23,1
2007,Nueva Zelanda,NZL,Fase de grupos,Derrota,0,23,2
2007,Brasil,BRA,Fase de grupos,Victoria,1,24,1
2007,Dinamarca,DEN,Fase de grupos,Derrota,0,24,2
2007,Alemania,GER,Cuartos de final,Victoria,3,25,1
2007,Corea del Norte,PRK,Cuartos de final,Derrota,0,25,2
2007,Estados Unidos,USA,Cuartos de final,Victoria,3,26,1
2007,Inglaterra,ENG,Cuartos de final,Derrota,0,26,2
2007,Noruega,NOR,Cuartos de final,Victoria,1,27,1
2007,República Popular China,CHN,Cuartos de final,Derrota,0,27,2
2007,Brasil,BRA,Cuartos de final,Victoria,3,28,1
2007,Australia,AUS,Cuartos de final,Derrota,2,28,2
2007,Alemania,GER,Semifinales,Victoria,3,29,1
2007,Noruega,NOR,Semifinales,Derrota,0,29,2
2007,Estados Unidos,USA,Semifinales,Derrota,0,30,1
2007,Brasil,BRA,Semifinales,Victoria,4,30,2
2007,Noruega,NOR,Tercer lugar,Derrota,1,31,1
2007,Estados Unidos,USA,Tercer lugar,Victoria,4,31,2
2007,Alemania,GER,Final,Victoria,2,32,1
2007,Brasil,BRA,Final,Derrota,0,32,2
2011,Nigeria,NGA,Fase de grupos,Derrota,0,1,1
2011,Francia,FRA,Fase de grupos,Victoria,1,1,2
2011,Alemania,GER,Fase de grupos,Victoria,2,2,1
2011,Canadá,CAN,Fase de grupos,Derrota,1,2,2
2011,Japón,JPN,Fase de grupos,Victoria,2,3,1
2011,Nueva Zelanda,NZL,Fase de grupos,Derrota,1,3,2
2011,México,MEX,Fase de grupos,Empate,1,4,1
2011,Inglaterra,ENG,Fase de grupos,Empate,1,4,2
2011,Colombia,COL,Fase de grupos,Derrota,0,5,1
2011,Suecia,SWE,Fase de grupos,Victoria,1,5,2
2011,Estados Unidos,USA,Fase de grupos,Victoria,2,6,1
2011,Corea del Norte,PRK,Fase de grupos,Derrota,0,6,2
2011,Noruega,NOR,Fase de grupos,Victoria,1,7,1
2011,Guinea Ecuatorial,EQG,Fase de grupos,Derrota,0,7,2
2011,Brasil,BRA,Fase de grupos,Victoria,1,8,1
2011,Australia,AUS,Fase de grupos,Derrota,0,8,2
2011,Canadá,CAN,Fase de grupos,Derrota,0,9,1
2011,Francia,FRA,Fase de grupos,Victoria,4,9,2
2011,Alemania,GER,Fase de grupos,Victoria,1,10,1
2011,Nigeria,NGA,Fase de grupos,Derrota,0,10,2
2011,Japón,JPN,Fase de grupos,Victoria,4,11,1
2011,México,MEX,Fase de grupos,Derrota,0,11,2
2011,Nueva Zelanda,NZL,Fase de grupos,Derrota,1,12,1
2011,Inglaterra,ENG,Fase de grupos,Victoria,2,12,2
2011,Corea del Norte,PRK,Fase de grupos,Derrota,0,13,1
