id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
9490665,Habitacion Privada en la Condesa,48980614,Patricia,2015-11-13,FALSE,Cuauhtémoc,19.41849,-99.17087,Habitación privada,1,flexible
9492550,PERFECTA UBICACIÓN A 2 CUADRAS COL. CONDESA,47464305,Adrián,2015-10-26,TRUE,Miguel Hidalgo,19.40197,-99.17587,Alojamiento entero,4,moderate
9507937,"Suite, nueva y céntrica",8256660,Maria,2013-08-19,TRUE,Cuauhtémoc,19.43647,-99.15788,Alojamiento entero,2,moderate
9512863,#402 Spacious A/C Condo! Great location!,12216741,Alice & Albert,2014-02-13,FALSE,Cuauhtémoc,19.42775,-99.13455,Alojamiento entero,6,moderate
9512884,Small and cute studio,1497087,Penelope,2011-12-12,FALSE,Cuauhtémoc,19.41427,-99.17643,Alojamiento entero,2,flexible
9515017,Flat share High Park Av Santa Fe,49301666,Gabriel,2015-11-17,FALSE,Cuajimalpa de Morelos,19.35932,-99.26739,Habitación privada,1,flexible
9515702,Relax Guest Loft in Condesa Super Experience,17105850,Xochitl,2014-06-22,FALSE,Cuauhtémoc,19.40689,-99.17561,Alojamiento entero,3,flexible
9521946,Cómodo y lindo departamento en la Del Valle,21408728,Gabriela,2014-09-16,FALSE,Benito Juárez,19.38503,-99.16164,Alojamiento entero,4,flexible
9526865,Original 2 bedrooms apartment in La Condesa,7682248,Fherdinand Strasse,2013-07-23,FALSE,Cuauhtémoc,19.41146,-99.16625,Alojamiento entero,6,strict_14_with_grace_period
9527955,apartment in the city centre,49358430,Chiara,2015-11-18,FALSE,Cuauhtémoc,19.42662,-99.13722,Habitación privada,1,flexible
9531587,Live CDMX to the max at Roma Norte,46682221,Patricio,2015-10-16,TRUE,Cuauhtémoc,19.42338,-99.16042,Alojamiento entero,6,strict_14_with_grace_period
9532032,1 bd pt. Heart of Colonia Condesa.,5377781,Tal,2013-03-08,FALSE,Cuauhtémoc,19.41952,-99.17265,Alojamiento entero,2,flexible
9532109,Estudio independiente equipado zona de hospitales,34272793,Oscar,2015-05-26,FALSE,Tlalpan,19.28235,-99.16687,Alojamiento entero,2,moderate
9542520,Habitación en el corazón de Condesa,29300290,Aldo,2015-03-14,FALSE,Cuauhtémoc,19.41053,-99.17518,Habitación privada,2,flexible
9542954,2 Bedroom Apartment A.Musset,15219834,Enrique Y Ricardo,2014-05-07,FALSE,Miguel Hidalgo,19.43709,-99.19542,Alojamiento entero,4,strict_14_with_grace_period
9547746,Amazing Loft  with Great Location!,7242222,Vicky Y  Pablo,2013-07-02,TRUE,Miguel Hidalgo,19.40227,-99.1832,Alojamiento entero,2,strict_14_with_grace_period
9563884,1 Bedroom flat in great loction,2761952,Fatima,2012-06-27,FALSE,Cuauhtémoc,19.41068,-99.17284,Alojamiento entero,4,strict_14_with_grace_period
9564405,Condesa best located 3 level Loft,43897906,Maria,2015-09-10,FALSE,Cuauhtémoc,19.41039,-99.16817,Alojamiento entero,5,strict_14_with_grace_period
9571734,Excellent apartment in la Roma,31887538,Tito,2015-04-25,FALSE,Cuauhtémoc,19.4041,-99.16505,Alojamiento entero,3,strict_14_with_grace_period
9575157,Coolest place at Centro Historico.,49567498,Francisco,2015-11-21,TRUE,Cuauhtémoc,19.42679,-99.13812,Habitación privada,2,strict_14_with_grace_period
9578395,Best PH in the city!,38704347,Jc,2015-07-16,FALSE,Cuauhtémoc,19.41523,-99.15852,Alojamiento entero,8,flexible
9587932,Confortables. En el sur del D.F.,49617302,Jorge,2015-11-22,FALSE,Tlalpan,19.30641,-99.2277,Habitación privada,2,flexible
9591180,Lovely Room in Historical Coyoacan,49642900,Norma,2015-11-22,FALSE,Coyoacán,19.34674,-99.15613,Habitación privada,2,moderate
9592907,Habitacion desayuno y snacks,49651037,Mon,2015-11-22,FALSE,Cuajimalpa de Morelos,19.38931,-99.26004,Habitación privada,2,moderate
9593446,Many rooms for rent in condesa,26966113,Arturo,2015-01-30,FALSE,Cuauhtémoc,19.41287,-99.17441,Habitación privada,2,strict_14_with_grace_period
9595459,Beatiful and confortable room,31038748,Josselin,2015-04-11,TRUE,Benito Juárez,19.3644,-99.16046,Habitación privada,1,strict_14_with_grace_period
9595823,Rooftop Studio by Chapultepec Park,1295975,Oliva,2011-10-16,TRUE,Miguel Hidalgo,19.4146,-99.18487,Alojamiento entero,2,moderate
9597622,HERMOSO DEPTO/ LOVELY APARTMENT,49671957,Guillermo,2015-11-23,TRUE,Cuauhtémoc,19.43541,-99.14467,Alojamiento entero,6,strict_14_with_grace_period
9599002,"Excelente Departamento, Be Grand, Alto Polanco, 9",1857233,Luis,2012-03-04,TRUE,Miguel Hidalgo,19.43964,-99.18412,Alojamiento entero,2,strict_14_with_grace_period
9603861,DEPTO AMUEBLADO Y EQUIPADO DE LUJO,49699297,Teresa,2015-11-23,FALSE,Benito Juárez,19.37545,-99.17696,Alojamiento entero,2,strict_14_with_grace_period
9609918,Habitación en mi departamento para 1 ó 2 personas.,49723344,Susana,2015-11-23,FALSE,Cuauhtémoc,19.43072,-99.16683,Habitación privada,2,moderate
9612440,Habitacion en Departamento,49733045,Abraham,2015-11-23,FALSE,Coyoacán,19.33595,-99.15765,Habitación privada,2,moderate
9612464,Apto compartido. Zona rom-condesa,49734307,Alister,2015-11-23,FALSE,Cuauhtémoc,19.40744,-99.16546,Habitación privada,1,flexible
9612901,Perfect for an ideal stop over,9350608,Jessis And Friends,2013-10-10,FALSE,Venustiano Carranza,19.43986,-99.09103,Alojamiento entero,2,flexible
9613968,Habitación a 5 min WTC. Nápoles,16707363,Julia,2014-06-12,FALSE,Benito Juárez,19.39485,-99.17948,Habitación privada,2,flexible
