anio	anfitrion	partidos_crudo
1970	mexico	(9)   6 June    Soviet Union    4-1    Belgium        @ Estadio Azteca, Mexico City
1970	mexico	(13)  7 June    Mexico          4-0    El Salvador    @ Estadio Azteca, Mexico City
1970	mexico	(17) 10 June    Soviet Union    2-0    El Salvador    @ Estadio Azteca, Mexico City
1970	mexico	(21) 11 June    Mexico          1-0    Belgium        @ Estadio Azteca, Mexico City
1970	mexico	(2)   2 June   Uruguay    2-0    Israel      @ Estadio Cuauhtémoc, Puebla
1970	mexico	(6)   3 June   Italy      1-0    Sweden      @ Estadio Luis Dosal, Toluca
1970	mexico	(10)  6 June   Uruguay    0-0    Italy       @ Estadio Cuauhtémoc, Puebla
1970	mexico	(14)  7 June   Sweden     1-1    Israel      @ Estadio Luis Dosal, Toluca
1970	mexico	(18) 10 June   Uruguay    0-1    Sweden      @ Estadio Cuauhtémoc, Puebla
1970	mexico	(22) 11 June   Israel     0-0    Italy       @ Estadio Luis Dosal, Toluca
1970	mexico	(3)   2 June   Romania    0-1    England          @ Estadio Jalisco, Guadalajara
1970	mexico	(7)   3 June   Czechoslovakia    1-4    Brazil     @ Estadio Jalisco, Guadalajara
1970	mexico	(11)  6 June   Romania    2-1    Czechoslovakia   @ Estadio Jalisco, Guadalajara
1970	mexico	(15)  7 June   England    0-1    Brazil           @ Estadio Jalisco, Guadalajara
1970	mexico	(19) 10 June   Romania    2-3    Brazil           @ Estadio Jalisco, Guadalajara
1970	mexico	(23) 11 June   England    1-0    Czechoslovakia   @ Estadio Jalisco, Guadalajara
1970	mexico	(4)   2 June   Peru        3-2   Bulgaria       @ Estadio Nou Camp, León
1970	mexico	(8)   3 June   Morocco     1-2   West Germany   @ Estadio Nou Camp, León
1970	mexico	(12)  6 June   Peru        3-0   Morocco        @ Estadio Nou Camp, León
1970	mexico	(16)  7 June   Bulgaria    2-5   West Germany   @ Estadio Nou Camp, León
1970	mexico	(20) 10 June   Peru        1-3   West Germany   @ Estadio Nou Camp, León
1970	mexico	(24) 11 June   Bulgaria    1-1   Morocco        @ Estadio Nou Camp, León
1970	mexico	(25) 14 June    Soviet Union  0-1 a.e.t. 0-0   Uruguay    @ Estadio Azteca, Mexico City
1970	mexico	(26) 14 June    Italy         4-1              Mexico     @ Estadio Luis Dosal, Toluca
1970	mexico	(27) 14 June    Brazil        4-2              Peru       @ Estadio Jalisco, Guadalajara
1970	mexico	(28) 14 June    West Germany  3-2 a.e.t. 2-2   England    @ Estadio Nou Camp, León
1970	mexico	(29) 17 June    Uruguay    1-3               Brazil        @ Estadio Jalisco, Guadalajara
1970	mexico	(30) 17 June    Italy      4-3 a.e.t. 1-1    West Germany  @ Estadio Azteca, Mexico City
1970	mexico	(31) 20 June    Uruguay    0-1    West Germany   @ Estadio Azteca, Mexico City
1970	mexico	(32) 21 June    Brazil     4-1    Italy     @ Estadio Azteca, Mexico City
1974	west-germany	(1)  14 June    West Germany  1-0   Chile        @ Olympiastadion, West Berlin
