anio	anfitrion	estadio	ciudad	partido_orden	fecha	equipo_1	equipo_2	equipo_1_final	equipo_2_final
1962	Chile	Estadio Sausalito	Viña del Mar	(23)	1962-06-07	Mexico	Checoslovaquia	3	1
1962	Chile	Estadio El Teniente	Rancagua	(24)	1962-06-07	Inglaterra	Bulgaria	0	0
1962	Chile	Estadio Carlos Dittborn	Arica	(25)	1962-06-10	Chile	Unión Soviética	2	1
1962	Chile	Estadio Nacional	Santiago	(26)	1962-06-10	Yugoslavia	Alemania occidental	1	0
1962	Chile	Estadio Sausalito	Viña del Mar	(27)	1962-06-10	Brasil	Inglaterra	3	1
1962	Chile	Estadio El Teniente	Rancagua	(28)	1962-06-10	Checoslovaquia	Hungría	1	0
1962	Chile	Estadio Nacional	Santiago	(29)	1962-06-13	Brasil	Chile	4	2
1962	Chile	Estadio Sausalito	Viña del Mar	(30)	1962-06-13	Checoslovaquia	Yugoslavia	3	1
1962	Chile	Estadio Nacional	Santiago	(31)	1962-06-16	Chile	Yugoslavia	1	0
1962	Chile	Estadio Nacional	Santiago	(32)	1962-06-17	Brasil	Checoslovaquia	3	1
1966	Inglaterra	Wembley Stadium	London	(1)	1966-07-11	Inglaterra	Uruguay	0	0
1966	Inglaterra	Hillsborough Stadium	Sheffield	(2)	1966-07-12	Alemania occidental	Suiza	5	0
1966	Inglaterra	Goodison Park	Liverpool	(3)	1966-07-12	Brasil	Bulgaria	2	0
1966	Inglaterra	Ayresome Park	Middlesbrough	(4)	1966-07-12	Unión Soviética	Corea del Norte	3	0
1966	Inglaterra	Wembley Stadium	London	(5)	1966-07-13	Francia	Mexico	1	1
1966	Inglaterra	Villa Park	Birmingham	(6)	1966-07-13	Argentina	España	2	1
1966	Inglaterra	Old Trafford	Manchester	(7)	1966-07-13	Portugal	Hungría	3	1
1966	Inglaterra	Roker Park	Sunderland	(8)	1966-07-13	Italia	Chile	2	0
1966	Inglaterra	White City Stadium	London	(9)	1966-07-15	Uruguay	Francia	2	1
1966	Inglaterra	Hillsborough Stadium	Sheffield	(10)	1966-07-15	España	Suiza	2	1
1966	Inglaterra	Goodison Park	Liverpool	(11)	1966-07-15	Hungría	Brasil	3	1
1966	Inglaterra	Ayresome Park	Middlesbrough	(12)	1966-07-15	Chile	Corea del Norte	1	1
1966	Inglaterra	Wembley Stadium	London	(13)	1966-07-16	Inglaterra	Mexico	2	0
1966	Inglaterra	Villa Park	Birmingham	(14)	1966-07-16	Argentina	Alemania occidental	0	0
1966	Inglaterra	Old Trafford	Manchester	(15)	1966-07-16	Portugal	Bulgaria	3	0
1966	Inglaterra	Roker Park	Sunderland	(16)	1966-07-16	Unión Soviética	Italia	1	0
1966	Inglaterra	Wembley Stadium	London	(17)	1966-07-19	Mexico	Uruguay	0	0
1966	Inglaterra	Hillsborough Stadium	Sheffield	(18)	1966-07-19	Argentina	Suiza	2	0
1966	Inglaterra	Goodison Park	Liverpool	(19)	1966-07-19	Portugal	Brasil	3	1
1966	Inglaterra	Ayresome Park	Middlesbrough	(20)	1966-07-19	Corea del Norte	Italia	1	0
1966	Inglaterra	Wembley Stadium	London	(21)	1966-07-20	Inglaterra	Francia	2	0
1966	Inglaterra	Villa Park	Birmingham	(22)	1966-07-20	Alemania occidental	España	2	1
1966	Inglaterra	Old Trafford	Manchester	(23)	1966-07-20	Hungría	Bulgaria	3	1
1966	Inglaterra	Roker Park	Sunderland	(24)	1966-07-20	Unión Soviética	Chile	2	1
1966	Inglaterra	Wembley Stadium	London	(25)	1966-07-23	Inglaterra	Argentina	1	0
1966	Inglaterra	Hillsborough Stadium	Sheffield	(26)	1966-07-23	Alemania occidental	Uruguay	4	0
1966	Inglaterra	Roker Park	Sunderland	(27)	1966-07-23	Unión Soviética	Hungría	2	1
1966	Inglaterra	Goodison Park	Liverpool	(28)	1966-07-23	Portugal	Corea del Norte	5	3
1966	Inglaterra	Goodison Park	Liverpool	(29)	1966-07-25	Alemania occidental	Unión Soviética	2	1
1966	Inglaterra	Wembley Stadium	London	(30)	1966-07-26	Inglaterra	Portugal	2	1
1966	Inglaterra	Wembley Stadium	London	(31)	1966-07-28	Portugal	Unión Soviética	2	1
1966	Inglaterra	Wembley Stadium	London	(32)	1966-07-30	Inglaterra	Alemania occidental	4	2
1970	Mexico	Estadio Azteca	Mexico City	(1)	1970-05-31	Mexico	Unión Soviética	0	0
1970	Mexico	Estadio Cuauhtémoc	Puebla	(2)	1970-06-02	Uruguay	Israel	2	0
1970	Mexico	Estadio Jalisco	Guadalajara	(3)	1970-06-02	Rumania	Inglaterra	0	1
1970	Mexico	Estadio Nou Camp	León	(4)	1970-06-02	Perú	Bulgaria	3	2
1970	Mexico	Estadio Azteca	Mexico City	(5)	1970-06-03	Bélgica	El Salvador	3	0
1970	Mexico	Estadio Luis Dosal	Toluca	(6)	1970-06-03	Italia	Suecia	1	0
1970	Mexico	Estadio Jalisco	Guadalajara	(7)	1970-06-03	Checoslovaquia	Brasil	1	4
1970	Mexico	Estadio Nou Camp	León	(8)	1970-06-03	Marruecos	Alemania occidental	1	2
1970	Mexico	Estadio Azteca	Mexico City	(9)	1970-06-06	Unión Soviética	Bélgica	4	1
1970	Mexico	Estadio Cuauhtémoc	Puebla	(10)	1970-06-06	Uruguay	Italia	0	0
1970	Mexico	Estadio Jalisco	Guadalajara	(11)	1970-06-06	Rumania	Checoslovaquia	2	1
1970	Mexico	Estadio Nou Camp	León	(12)	1970-06-06	Perú	Marruecos	3	0
1970	Mexico	Estadio Azteca	Mexico City	(13)	1970-06-07	Mexico	El Salvador	4	0
1970	Mexico	Estadio Luis Dosal	Toluca	(14)	1970-06-07	Suecia	Israel	1	1
1970	Mexico	Estadio Jalisco	Guadalajara	(15)	1970-06-07	Inglaterra	Brasil	0	1
1970	Mexico	Estadio Nou Camp	León	(16)	1970-06-07	Bulgaria	Alemania occidental	2	5
1970	Mexico	Estadio Azteca	Mexico City	(17)	1970-06-10	Unión Soviética	El Salvador	2	0
1970	Mexico	Estadio Cuauhtémoc	Puebla	(18)	1970-06-10	Uruguay	Suecia	0	1
1970	Mexico	Estadio Jalisco	Guadalajara	(19)	1970-06-10	Rumania	Brasil	2	3
1970	Mexico	Estadio Nou Camp	León	(20)	1970-06-10	Perú	Alemania occidental	1	3
1970	Mexico	Estadio Azteca	Mexico City	(21)	1970-06-11	Mexico	Bélgica	1	0
1970	Mexico	Estadio Luis Dosal	Toluca	(22)	1970-06-11	Israel	Italia	0	0
1970	Mexico	Estadio Jalisco	Guadalajara	(23)	1970-06-11	Inglaterra	Checoslovaquia	1	0
1970	Mexico	Estadio Nou Camp	León	(24)	1970-06-11	Bulgaria	Marruecos	1	1
1970	Mexico	Estadio Azteca	Mexico City	(25)	1970-06-14	Unión Soviética	Uruguay	0	1
1970	Mexico	Estadio Luis Dosal	Toluca	(26)	1970-06-14	Italia	Mexico	4	1
1970	Mexico	Estadio Jalisco	Guadalajara	(27)	1970-06-14	Brasil	Perú	4	2
1970	Mexico	Estadio Nou Camp	León	(28)	1970-06-14	Alemania occidental	Inglaterra	3	2
1970	Mexico	Estadio Jalisco	Guadalajara	(29)	1970-06-17	Uruguay	Brasil	1	3
1970	Mexico	Estadio Azteca	Mexico City	(30)	1970-06-17	Italia	Alemania occidental	4	3
1970	Mexico	Estadio Azteca	Mexico City	(31)	1970-06-20	Uruguay	Alemania occidental	0	1
1970	Mexico	Estadio Azteca	Mexico City	(32)	1970-06-21	Brasil	Italia	4	1
1974	Alemania occidental	Waldstadion	Frankfurt	(3)	1974-06-13	Brasil	Yugoslavia	0	0
1974	Alemania occidental	Olympiastadion	West Berlin	(1)	1974-06-14	Alemania occidental	Chile	1	0
1974	Alemania occidental	Volksparkstadion	Hamburg	(2)	1974-06-14	Alemania del Este	Australia	2	0
1974	Alemania occidental	Westfalenstadion	Dortmund	(4)	1974-06-14	Zaire	Escocia	0	2
1974	Alemania occidental	Niedersachsenstadion	Hanover	(5)	1974-06-15	Uruguay	Países Bajos	0	2
1974	Alemania occidental	Rheinstadion	Düsseldorf	(6)	1974-06-15	Suecia	Bulgaria	0	0
1974	Alemania occidental	Olympiastadion	Munich	(7)	1974-06-15	Italia	Haití	3	1
1974	Alemania occidental	Neckarstadion	Stuttgart	(8)	1974-06-15	Polonia	Argentina	3	2
1974	Alemania occidental	Olympiastadion	West Berlin	(9)	1974-06-18	Chile	Alemania del Este	1	1
1974	Alemania occidental	Volksparkstadion	Hamburg	(10)	1974-06-18	Australia	Alemania occidental	0	3
1974	Alemania occidental	Parkstadion	Gelsenkirchen	(11)	1974-06-18	Yugoslavia	Zaire	9	0
1974	Alemania occidental	Waldstadion	Frankfurt	(12)	1974-06-18	Escocia	Brasil	0	0
1974	Alemania occidental	Westfalenstadion	Dortmund	(13)	1974-06-19	Países Bajos	Suecia	0	0
1974	Alemania occidental	Niedersachsenstadion	Hanover	(14)	1974-06-19	Uruguay	Bulgaria	1	1
1974	Alemania occidental	Olympiastadion	Munich	(15)	1974-06-19	Haití	Polonia	0	7
1974	Alemania occidental	Neckarstadion	Stuttgart	(16)	1974-06-19	Argentina	Italia	1	1
1974	Alemania occidental	Olympiastadion	West Berlin	(17)	1974-06-22	Australia	Chile	0	0
1974	Alemania occidental	Volksparkstadion	Hamburg	(18)	1974-06-22	Alemania del Este	Alemania occidental	1	0
1974	Alemania occidental	Waldstadion	Frankfurt	(19)	1974-06-22	Escocia	Yugoslavia	1	1
1974	Alemania occidental	Parkstadion	Gelsenkirchen	(20)	1974-06-22	Zaire	Brasil	0	3
1974	Alemania occidental	Westfalenstadion	Dortmund	(21)	1974-06-23	Países Bajos	Bulgaria	4	1
1974	Alemania occidental	Rheinstadion	Düsseldorf	(22)	1974-06-23	Suecia	Uruguay	3	0
1974	Alemania occidental	Olympiastadion	Munich	(23)	1974-06-23	Argentina	Haití	4	1
1974	Alemania occidental	Neckarstadion	Stuttgart	(24)	1974-06-23	Polonia	Italia	2	1
1974	Alemania occidental	Niedersachsenstadion	Hanover	(25)	1974-06-26	Brasil	Alemania del Este	1	0
1974	Alemania occidental	Parkstadion	Gelsenkirchen	(26)	1974-06-26	Países Bajos	Argentina	4	0
1974	Alemania occidental	Rheinstadion	Düsseldorf	(27)	1974-06-26	Yugoslavia	Alemania occidental	0	2
1974	Alemania occidental	Neckarstadion	Stuttgart	(28)	1974-06-26	Suecia	Polonia	0	1
1974	Alemania occidental	Parkstadion	Gelsenkirchen	(29)	1974-06-30	Alemania del Este	Países Bajos	0	2
1974	Alemania occidental	Niedersachsenstadion	Hanover	(30)	1974-06-30	Argentina	Brasil	1	2
1974	Alemania occidental	Rheinstadion	Düsseldorf	(31)	1974-06-30	Alemania occidental	Suecia	4	2
1974	Alemania occidental	Waldstadion	Frankfurt	(32)	1974-06-30	Polonia	Yugoslavia	2	1
1974	Alemania occidental	Parkstadion	Gelsenkirchen	(33)	1974-07-03	Argentina	Alemania del Este	1	1
1974	Alemania occidental	Westfalenstadion	Dortmund	(34)	1974-07-03	Países Bajos	Brasil	2	0
1974	Alemania occidental	Waldstadion	Frankfurt	(35)	1974-07-03	Polonia	Alemania occidental	0	1
